"","text","word_scores","compound","pos","neu","neg","but_count"
"2522","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 458,423,469,1186,Dose2 Capacity: 65,202,337,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2523","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 464,423,469,1187,Dose2 Capacity: 65,203,338,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2524","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 470,423,469,1187,Dose2 Capacity: 65,203,340,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2525","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 474,424,469,1187,Dose2 Capacity: 65,204,340,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2526","  Herd immunity already happened. You continue believing this is a vaccine its not in any way shape or form. I study microbiology heavily in high school and college and in the military. A med lab technician. People need to be more concerned with their health and not a flu","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.184}",0.292,0.043,0.957,0,0
"2527","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 478,424,469,1189,Dose2 Capacity: 65,206,341,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2528","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 483,424,470,1189,Dose2 Capacity: 65,206,341,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2529","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 487,424,470,1190,Dose2 Capacity: 65,207,342,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2530","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 491,424,470,1191,Dose2 Capacity: 65,208,344,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2531","Visited #Vaccination Centre at Govt Jr College, Kachiguda, #Secunderabad.Inspected ongoing Vaccine drive &amp; facilities available at centre.I urge all above the age of 18yrs to take vaccine at their available centres &amp; strengthen the fight against #Covid19#LargestVaccineDrive ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3, 0, -1.6, 0, 0}",-0.077,0.058,0.877,0.065,0
"2532","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 505,429,470,1203,Dose2 Capacity: 66,211,352,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2533"," #Reopencolleges PLEASE OPEN COLLEGE INSTITUTE WITH VACCINE CERTIFICATE AND MASK            ","{0, 0, 2.033, 0, 0, 0, 0, 0, 0, 0, 0}",0.465,0.233,0.767,0,0
"2534","All of this. ","{0, 0, 0}",0,0,1,0,0
"2535"," #Reopencolleges PLEASE OPEN COLLEGE INSTITUTE WITH VACCINE CERTIFICATE AND MASK #___ ","{0, 0, 2.033, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.465,0.216,0.784,0,0
"2536","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 549,430,472,1227,Dose2 Capacity: 71,223,361,96,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2537","Agra Corona Vaccine Update : Covaxin at SN Medical College &amp; JP Sabhagar Aambedkar Univ. Agra#agranews ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.533, 0, 0, 0, 0}",0.368,0.144,0.856,0,0
